Team,Macro F1,Disparate impact
France  UR2  WeTried,0.84247,4.00975
France   UJM  BravoNils,0.82932,4.26414
Cameroun  ENSPY  Fred,0.82733,4.03571
FranceENSEEIHTPyramids,0.82685,3.74924
France  INSA Toulouse  Salle104,0.82598,3.95849
France  OC,0.82524,4.24619
Cameroun  ENSPY  GI,0.82446,4.13195
France  Universit Jean Monnet  Minions,0.82354,4.23495
France  UPS  Test,0.81971,3.49578
FranceUniversit de BordeauxCMI ISI datadax,0.81639,4.10829
France  UPS  FairleNessSROnly,0.81443,3.94925
France  UPS3ItsOnlyAGlitch,0.8134,4.11222
France  UPS  Les disSIDents,0.812,4.00402
FranceINSAENSEEIHTVALDOM_3TP,0.81026,4.14691
France  Toulouse School of Economics  ,0.80975,4.03677
FranceUniversit_Jean_MonnetSeaHorse,0.80928,4.21315
France  Toulouse School of Economics  Tesseract,0.80905,4.29471
France  UPS  Trump PrSIDent,0.80867,4.22736
France  INSA Toulouse  Matilda,0.80799,4.53748
France  INSA Toulouse  Tythons,0.80789,4.07787
Franceness,0.80785,4.07521
France  UR2  Les maMASitas,0.80754,4.03408
FR  UPS  DesConSIDrs,0.80737,4.03319
Cte dIvoire  INPHB  Rainbow,0.80678,4.493
France  UPS  Les HESSiennes,0.80627,4.16183
FRUPSFakeTaxSID,0.80613,4.34714
France  Universit Paul Sabatier  Slash Bros,0.80603,4.22787
France  UR2  DataBrothers,0.80344,3.90415
France  UPS  Les SIDrents,0.80273,4.08346
Cote dIvoire  INPHB  Analytics,0.80264,4.31438
CTE DIVOIRE_INPHB_KENIEN,0.80264,4.31438
CTE DIVOIRE_INPHB_ASSETTEAM,0.80264,4.31438
France  Universit de Bordeaux  TensorBros,0.80205,4.12046
CTE DIVOIRE_INPHB_OPTASIA,0.80095,3.99715
FranceENSEEIHTTeN7Flow,0.79978,3.51717
France  UJM  AI Force,0.79964,3.65366
France  OC  ,0.7992,4.52774
FranceTSEBERTrand Russell,0.79861,4.02745
Innovons ,0.79845,3.55622
France  INSA Toulouse  Les Schtroumpfs,0.79607,4.3757
France  UPS  Torch Merry,0.79499,3.97247
France  NFE,0.79486,4.47971
FranceENSEEIHTIALayou,0.79401,4.11951
France  UPS  13 organis,0.79145,4.3721
FranceINSAENSEEIHTVALDOMUPENDO,0.78013,4.03445
France  UPS3  ekip,0.77832,3.98832
Mercedes UJM Petronas Machine Learning Team,0.77204,4.29913
France  Universit Rennes 2  Datasquad,0.76916,3.42782
France  Universit de Bordeaux  DUPUY GARCIA,0.76211,3.7685
France  UJM  Defi Ninjas,0.75728,3.7145
FRANCEUPSMONAGA,0.75151,4.89532
France  UPS  Les trois mousquetaires,0.75146,3.71558
France  Universit de Bordeaux  AI Crew,0.75039,4.70319
FranceUPS  TP MATSID,0.75039,3.32003
France  UPS  CASoWeT,0.75021,3.14226
CTE DIVOIREINPHBNGLOUL,0.74806,4.06588
FranceINSA_ToulouseLes Mtos,0.74622,3.36649
France  UPS  Pizza,0.74266,3.5274
FranceUniversit de BordeauxChampion MP,0.74231,3.481
France  INSA Toulouse  Team Osiris,0.74064,3.1886
FranceBordeauxTamariki,0.73998,4.10232
France  Universit de BordeauxGnTp,0.73863,3.5122
France  UJM  Yellow Submarine,0.73858,4.38005
France  UR2  Les gros bras JCMX,0.73624,4.31032
FranceINSAENSEEIHTGadjo_United,0.73601,3.40221
France  Universit de Bordeaux  TikiTaka,0.73542,3.33839
France  Universit Rennes 2  Breizh Organis,0.73393,3.98188
France  Universit de Bordeaux  Enseignants,0.73361,3.889
France_INSAT_SAAT,0.73339,4.73383
FranceUniversit de BordeauxMASSAGNE,0.73289,3.96141
France  Toulouse School of Economics  TheFairPredictors,0.73244,5.32159
France  UR2  Overfitters,0.73164,3.89391
Cameroun  ptalom  ENSPY,0.72996,3.68991
FranceUniversit de BordeauxBigNosy,0.72929,4.30693
bbspb,0.72581,3.32168
France  CNAM Pays de la Loire MEDAS  IA Pas Mieux,0.7193,2.86868
France UJM BASELINE,0.70825,4.89799
junior Nnane,0.69707,3.54768
